"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","372","Regression: Login fails with invalid credentials","UI Tests","2026-04-27","passed","2026-04-27","","Regression","",""
"","1304","Generated Navigation: User returns to login page after logout","UI Tests","2026-04-27","passed","2026-04-27","","Generated Navigation & UI","",""
"","383","Generated Navigation: Clicking a product opens its detail page","UI Tests","2026-04-27","passed","2026-04-27","","Generated Navigation & UI","",""
"","408","Generated Filter: Products can be sorted by name from Z to A","UI Tests","2026-04-27","passed","2026-04-27","","Generated Filter","",""
"","412","Generated Filter: Products can be sorted by price from low to high","UI Tests","2026-04-27","passed","2026-04-27","","Generated Filter","",""
"","1487","Generated Navigation: Side menu opens and closes","UI Tests","2026-04-27","passed","2026-04-27","","Generated Navigation & UI","",""
"","399","Regression: Sort products low to high","UI Tests","2026-04-27","passed","2026-04-27","","Regression","",""
"","397","Regression: Sort products high to low","UI Tests","2026-04-27","passed","2026-04-27","","Regression","",""
"","402","Generated Navigation: Cart page is accessible with no items","UI Tests","2026-04-27","passed","2026-04-27","","Generated Navigation & UI","",""
"","393","Regression: Multiple items can be added to cart","UI Tests","2026-04-27","passed","2026-04-27","","Regression","",""
"","361","Generated Navigation: Cart badge is absent when cart is empty","UI Tests","2026-04-27","passed","2026-04-27","","Generated Navigation & UI","",""
"","390","Regression: User can remove item from cart","UI Tests","2026-04-27","passed","2026-04-27","","Regression","",""
"","497","Generated Navigation: User navigates back to inventory from cart","UI Tests","2026-04-27","passed","2026-04-27","","Generated Navigation & UI","",""
"","408","Generated Navigation: User navigates to cart page from inventory","UI Tests","2026-04-27","passed","2026-04-27","","Generated Navigation & UI","",""
"","387","Generated Filter: Products can be sorted by name from A to Z","UI Tests","2026-04-27","passed","2026-04-27","","Generated Filter","",""
"","288","Regression: Locked user cannot login","UI Tests","2026-04-27","passed","2026-04-27","","Regression","",""
"","397","Generated Filter: Products can be sorted by price from high to low","UI Tests","2026-04-27","passed","2026-04-27","","Generated Filter","",""
"","442","Regression: Cart persists after navigation","UI Tests","2026-04-27","passed","2026-04-27","","Regression","",""
