"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","435","Regression: Cart persists after navigation","UI Tests","2026-04-14","passed","2026-04-14","","Regression","",""
"","307","Regression: Locked user cannot login","UI Tests","2026-04-14","passed","2026-04-14","","Regression","",""
"","1268","User can log out successfully","UI Tests","2026-04-14","passed","2026-04-14","","SauceDemo Sanity","",""
"","397","Smoke: Cart badge updates correctly","UI Tests","2026-04-14","passed","2026-04-14","","Smoke","",""
"","359","Regression: Sort products high to low","UI Tests","2026-04-14","passed","2026-04-14","","Regression","",""
"","371","Regression: Login fails with invalid credentials","UI Tests","2026-04-14","passed","2026-04-14","","Regression","",""
"","407","User can open cart and see selected item","UI Tests","2026-04-14","passed","2026-04-14","","SauceDemo Sanity","",""
"","384","User can add item to cart","UI Tests","2026-04-14","passed","2026-04-14","","SauceDemo Sanity","",""
"","337","Inventory is displayed after login","UI Tests","2026-04-14","passed","2026-04-14","","SauceDemo Sanity","",""
"","355","Standard user can log in successfully","UI Tests","2026-04-14","passed","2026-04-14","","SauceDemo Sanity","",""
"","372","Smoke: User can add item to cart","UI Tests","2026-04-14","passed","2026-04-14","","Smoke","",""
"","1260","Smoke: User can logout","UI Tests","2026-04-14","passed","2026-04-14","","Smoke","",""
"","359","Regression: Sort products low to high","UI Tests","2026-04-14","passed","2026-04-14","","Regression","",""
"","426","Regression: Multiple items can be added to cart","UI Tests","2026-04-14","passed","2026-04-14","","Regression","",""
"","373","Smoke: Standard user can log in","UI Tests","2026-04-14","passed","2026-04-14","","Smoke","",""
"","415","Regression: User can remove item from cart","UI Tests","2026-04-14","passed","2026-04-14","","Regression","",""
